Distance;points;avg intensity;
0;1;79.047254;
1;8;57.076281;
2;16;59.013614;
3;20;65.193826;
4;24;56.172910;
5;40;54.696230;
6;36;63.845337;
7;48;62.898850;
8;56;49.717594;
9;56;56.928410;
10;68;56.562078;
11;64;50.919134;
12;80;58.293041;
13;92;58.117927;
14;88;57.673937;
15;96;54.882630;
16;96;53.208365;
17;116;59.244353;
18;120;53.893950;
19;120;59.174057;
20;124;52.973124;
21;144;58.449799;
22;136;52.849793;
23;140;58.001813;
24;152;57.134598;
25;168;55.537877;
26;176;56.498385;
27;164;55.101288;
28;168;60.433178;
29;192;55.347269;
30;188;55.045998;
31;208;57.143346;
32;200;52.543578;
33;208;59.050792;
34;228;60.285089;
35;208;57.068095;
36;232;57.772966;
37;228;58.748139;
38;256;57.216418;
39;248;56.124773;
40;236;59.557671;
41;272;57.181662;
42;264;55.773533;
43;288;57.858487;
44;276;52.347680;
45;272;59.018601;
46;296;56.456374;
47;292;56.447907;
48;312;54.874946;
49;304;54.208718;
50;336;56.443928;
51;324;55.644244;
52;312;56.704388;
53;344;56.688731;
54;324;54.268067;
55;376;53.437917;
56;344;55.739617;
57;360;57.922142;
58;364;58.841105;
59;368;56.998202;
60;392;57.561598;
61;388;56.370359;
62;392;55.781506;
63;400;57.745608;
64;388;56.635763;
65;432;59.664725;
66;400;58.545614;
67;424;55.833214;
68;452;59.855621;
69;416;56.252120;
70;448;56.277755;
71;428;57.225185;
72;480;60.091586;
73;464;55.373668;
74;464;52.571662;
75;476;55.508759;
76;480;57.013289;
77;496;55.070479;
78;476;54.379321;
79;496;53.303888;
80;520;58.604792;
81;500;56.599886;
82;536;54.508433;
83;504;55.708475;
84;536;56.537349;
85;548;55.741427;
86;544;54.800043;
87;552;54.188518;
88;524;56.083070;
89;600;55.603949;
90;552;56.543883;
91;576;54.637061;
92;580;55.606538;
93;584;58.889191;
94;608;56.847273;
95;580;56.555555;
96;600;54.538283;
97;632;55.478165;
98;608;55.543418;
99;644;57.852070;
100;608;55.645076;
101;664;57.927694;
102;644;55.196848;
103;624;59.190915;
104;672;53.149645;
105;644;54.325845;
106;696;56.440144;
107;672;54.164544;
108;664;57.654946;
109;684;56.112428;
110;688;56.069490;
111;720;53.429780;
112;700;55.827791;
113;712;54.679408;
114;744;55.791743;
115;720;57.218973;
116;716;55.795214;
117;736;56.595739;
118;752;57.826656;
119;756;58.667745;
120;752;57.112297;
121;736;56.555736;
122;772;55.788396;
123;824;58.951842;
124;752;55.656799;
125;808;56.307742;
126;756;56.177869;
127;816;53.645470;
128;824;56.426039;
129;788;55.082234;
130;840;56.538768;
131;808;56.523340;
132;864;57.205704;
133;844;54.827053;
134;800;56.617544;
135;880;56.051936;
136;852;56.041231;
137;872;55.582494;
138;864;55.683292;
139;852;54.198574;
140;912;54.959587;
141;872;59.358522;
142;896;55.484522;
143;900;55.831292;
144;912;58.081911;
145;936;57.330833;
146;908;57.468304;
147;912;57.471940;
148;952;56.606348;
149;944;57.433172;
150;948;56.601172;
151;920;56.765808;
152;976;56.674373;
153;948;57.313134;
154;1000;54.181293;
155;960;57.545696;
156;976;54.835294;
157;1020;54.775069;
158;960;54.185236;
159;1000;57.808949;
160;1004;56.843683;
161;1056;55.955386;
162;1024;57.473458;
163;996;56.676926;
164;1040;58.357318;
165;1032;56.755639;
166;1080;55.773284;
167;1028;57.342857;
168;1024;58.176483;
169;1096;56.784409;
170;1076;55.909551;
171;1080;55.885145;
172;1064;56.396958;
173;1112;57.215822;
174;1108;57.580220;
175;1080;56.186954;
176;1112;57.907187;
177;1084;56.416896;
178;1152;56.315727;
179;1136;53.223194;
180;1108;56.906994;
181;1144;55.424401;
182;1168;57.201828;
183;1176;56.635849;
184;1116;55.812883;
185;1168;55.761612;
186;1200;55.690815;
187;1172;56.166617;
188;1184;54.700059;
189;1168;56.275408;
190;1192;54.977214;
191;1228;57.187404;
192;1176;56.792156;
193;1248;56.303430;
194;1196;56.107050;
195;1248;57.050937;
196;1248;58.758614;
197;1224;55.801512;
198;1260;57.094826;
199;1232;57.904916;
200;1296;57.617999;
201;1236;55.767316;
202;1240;56.814723;
203;1328;56.368309;
204;1268;54.568877;
205;1320;55.743206;
206;1264;57.258335;
207;1304;58.698207;
208;1324;56.328578;
209;1304;57.634007;
210;1312;58.252923;
211;1348;57.599408;
212;1336;54.367108;
213;1344;56.485722;
214;1344;55.608336;
215;1324;55.544552;
216;1384;56.775046;
217;1376;56.785575;
218;1356;58.103847;
219;1384;57.319773;
220;1384;55.591712;
221;1396;58.498167;
222;1424;57.831111;
223;1376;56.289046;
224;1432;57.685672;
225;1396;56.319997;
226;1424;57.829203;
227;1416;58.260933;
228;1452;56.486880;
229;1496;55.476093;
230;1400;58.292670;
231;1440;57.504114;
232;1452;56.457562;
233;1472;56.946482;
234;1512;56.827935;
235;1444;59.246821;
236;1480;56.786442;
237;1520;57.311643;
238;1452;56.314754;
239;1536;57.530954;
240;1464;58.065363;
241;1568;57.812411;
242;1548;55.893459;
