Ponto (X,Y) Intensidade
1 (108.301, 17.075) 11529
2 (126.603, 20.198) 13214
3 (144.775, 23.461) 14266
4 (163.071, 26.605) 13137
5 (181.372, 29.874) 11807
6 (93.061, 32.249) 11580
7 (199.701, 32.654) 9914
8 (111.362, 35.481) 13334
9 (218.079, 36.000) 7747
10 (129.663, 38.597) 14557
11 (147.888, 41.614) 15741
12 (236.479, 39.031) 5510
13 (166.268, 44.788) 14599
14 (254.774, 42.202) 3258
15 (77.902, 47.500) 11621
16 (184.619, 48.008) 13254
17 (96.114, 50.632) 13330
18 (202.934, 51.076) 11921
19 (114.558, 53.679) 14666
20 (221.299, 54.346) 10002
21 (132.747, 56.845) 15850
22 (239.691, 57.350) 7784
23 (151.122, 59.974) 16865
24 (257.943, 60.541) 5511
25 (62.766, 62.812) 11585
26 (169.445, 63.269) 15889
27 (81.044, 65.930) 13383
28 (187.706, 66.346) 14592
29 (99.349, 68.860) 14643
30 (206.025, 69.441) 13252
31 (117.548, 72.044) 15769
32 (224.308, 72.793) 11933
33 (135.882, 75.176) 17165
34 (242.701, 75.654) 10000
35 (154.123, 78.364) 18305
36 (47.500, 77.950) 11621
37 (261.000, 78.905) 7746
38 (65.899, 81.023) 13382
39 (172.500, 81.500) 16941
40 (84.198, 84.285) 14564
41 (190.823, 84.572) 15903
42 (102.454, 87.291) 15859
43 (209.231, 87.725) 14615
44 (120.790, 90.423) 17130
45 (227.578, 90.976) 13253
46 (139.103, 93.590) 18338
47 (32.290, 93.051) 11581
48 (245.934, 94.076) 11919
49 (157.450, 96.637) 19753
50 (50.634, 96.112) 13327
51 (264.299, 97.346) 9913
52 (68.934, 99.382) 14646
53 (175.770, 99.899) 18403
54 (87.278, 102.471) 15859
55 (194.058, 102.935) 16962
56 (105.553, 105.545) 17031
57 (212.394, 106.111) 15903
58 (17.108, 108.273) 11528
59 (123.899, 108.872) 18522
60 (230.706, 109.346) 14592
61 (142.313, 111.809) 19843
62 (35.490, 111.429) 13335
63 (248.999, 112.397) 13255
64 (160.538, 115.047) 20860
65 (53.717, 114.563) 14666
66 (267.186, 115.704) 11807
67 (72.057, 117.532) 15770
68 (178.756, 118.282) 19831
69 (90.408, 120.835) 17131
70 (197.106, 121.169) 18404
71 (108.850, 123.912) 18522
72 (215.500, 124.500) 16929
73 (20.238, 126.597) 13212
74 (127.144, 127.216) 19713
75 (233.766, 127.547) 15889
76 (145.469, 130.150) 21094
77 (38.610, 129.638) 14557
78 (252.150, 130.679) 14599
79 (163.737, 133.206) 22148
80 (56.836, 132.715) 15848
81 (270.379, 133.911) 13138
82 (75.220, 135.900) 17165
83 (181.936, 136.452) 20864
84 (93.627, 139.072) 18333
85 (200.314, 139.534) 19755
86 (111.878, 142.344) 19840
87 (218.685, 142.881) 18304
88 (23.416, 144.709) 14267
89 (130.196, 145.489) 21093
90 (237.022, 145.917) 16864
91 (148.500, 148.500) 21987
92 (41.643, 147.906) 15740
93 (255.357, 149.094) 15740
94 (59.978, 151.083) 16862
95 (166.804, 151.511) 21094
96 (273.584, 152.291) 14270
97 (78.359, 154.118) 18305
